ID,Text,Comment
LV.BL.BeavlineGroup,"Beavline Logistics",
LV.BL.BeavlineOut,"Beavline Output",
LV.BL.BeavlineOutDesc,"Sends goods to connected Beavline Inputs.",
LV.BL.BeavlineOutFlavor,"No detours, no delays. Just pure Beavline speed.",
LV.BL.BeavlineOutSpeed,"Beavline Output Express",
LV.BL.BeavlineOutSpeedDesc,"Increase the speed of Beavline Output by {0:+0%}",
LV.BL.BeavlineOutSpeedFlavor,"Guaranteed delivery before the next dam break.",
LV.BL.BeavlineIn,"Beavline Input",
LV.BL.BeavlineInDesc,"Receives goods from connected Beavline Outputs.",
LV.BL.BeavlineInFlavor,"Your delivery has Beavlined its way here.",
LV.BL.BeavlineBalancer,"Beavline Storage Balancer",
LV.BL.BeavlineBalancerDesc,"Automatically evens out goods of the same type across all connected storages. Works independently from Beavline Input and Output. It runs every hour with no limit on the amount of goods moved.",
LV.BL.BeavlineBalancerFlavor,"'Perfectly balanced, as all stockpiles should be.' — Damnos Titanus",
LV.BL.FilterGoods,"Filter goods: {0}",
LV.BL.ChangeFilter,"Change filter",
LV.BL.FilterAll,"All",
LV.BL.DisableToggle,"Disabled",
LV.BL.ConnectedTo,"Connected to:",
LV.BL.Disabled,"<RedHighlight>[Disabled]</RedHighlight>",
LV.BL.ErrInvalidBuilding,"This building cannot be connected to Beavline.",
LV.BL.ErrNoInput,"This building cannot receive goods",
LV.BL.ErrNoOutput,"This building cannot send goods",
LV.BL.SelectAll,"Select All",
LV.BL.SelectNone,"Select None",
LV.BL.OutputSpeed,"Output speed: {0:0.#} items/day",
LV.BL.ErrStockpileOnly,"This renovation can only be built on stockpiles (Piles, Warehouses and Tanks).",
LV.BL.RemoveEntranceWarning,"Remove entrance warning",
LV.BL.DisableBalancer,"Disable Beavline Balancer",
LV.BL.ErrNeedOutput,"Can only be built on buildings with Beavline Output.",
Name_BeavlineFragment,"Beavline",
Name_StockpileBalancerFragment,"Beavline Stockpile",
