ID,Text,Comment
LV.Btr.BatteryGroup,"Batteries",
LV.Btr.WoodBattery.NameSingular,"Wood Battery",
LV.Btr.WoodBattery.NamePlural,"Wood Batteries",
LV.Btr.WoodBatteryCharged.NameSingular,"Charged Wood Battery",
LV.Btr.WoodBatteryCharged.NamePlural,"Charged Wood Batteries",
LV.Btr.CompositeBattery.NameSingular,"Composite Battery",
LV.Btr.CompositeBattery.NamePlural,"Composite Batteries",
LV.Btr.CompositeBatteryCharged.NameSingular,"Charged Composite Battery",
LV.Btr.CompositeBatteryCharged.NamePlural,"Charged Composite Batteries",
LV.Btr.HeavyBattery.NameSingular,"Heavy Battery",
LV.Btr.HeavyBattery.NamePlural,"Heavy Batteries",
LV.Btr.HeavyBatteryCharged.NameSingular,"Charged Heavy Battery",
LV.Btr.HeavyBatteryCharged.NamePlural,"Charged Heavy Batteries",
LV.Btr.ChemicalBattery.NameSingular,"Chemical Battery",
LV.Btr.ChemicalBattery.NamePlural,"Chemical Batteries",
LV.Btr.ChemicalBatteryCharged.NameSingular,"Charged Chemical Battery",
LV.Btr.ChemicalBatteryCharged.NamePlural,"Charged Chemical Batteries",
LV.Btr.BatteryCharger.Name,"Battery Charger",
LV.Btr.BatteryCharger.Description,"Consumes power to charge batteries for later use.",
LV.Btr.BatteryCharger.Flavor,"Watt a minute, please.",
LV.Btr.BatteryDischarger.Name,"Battery Discharger",
LV.Btr.BatteryDischarger.Description,"Consumes stored batteries to supply power to the grid when needed.",
LV.Btr.BatteryDischarger.Flavor,"Discharges responsibly or be grounded.",
