ID,Text,Comment
LV.BCEv.BeaverChronicles,"Beaver Chronicles",
LV.BCEv.ChronicleDialogHotkey,"Show Chronicles Dialog",
LV.BCEv.Details,"Details",
LV.BCEv.CurrentEvent,"<YellowHighlight>Current Event</YellowHighlight>",
LV.BCEv.PastEvents,"<YellowHighlight>Past Events</YellowHighlight>",
LV.BCEv.Pages,"Pages:",
LV.BCEv.Unknown,"<RedHighlight>Unknown</RedHighlight>",
LV.BCEv.WorkingSpeedDesc,"{0:+0%;-0%;0%} Working Speed",
LV.BCEv.MovementSpeedDesc,"{0:+0%;-0%;0%} Movement Speed",
LV.BCEv.WorkingMovementSpeedDesc,"{0:+0%;-0%;0%} Working and Movement Speed",
LV.BCEv.ListText,"AC{0:0} - {1}",
LV.BCEv.EntryTitle,"{0} (from AC{1:0} to AC{2:0})",
LV.BCEv.EntryTitleActive,"{0} (started AC{1:0})",
LV.BCEv.Remaining,"Remaining:",
LV.BCEv.Amount,"Amount:",
LV.BCEv.Max,"Max",
LV.BCEv.Pay,"Pay",
LV.BCEv.Science,"Science",
LV.BCEv.PayGuide.Title,"Event Payments",
LV.BCEv.PayGuide.Content,"Some events need resources to complete.
Select a storage building with the required item, then use Event Payment to pay. This works with <YellowHighlight>Piles, Warehouses, and Tanks</YellowHighlight>.
For Science, select a <YellowHighlight>Science production building</YellowHighlight>, such as an <YellowHighlight>Inventor</YellowHighlight>.
Enter the amount you want to contribute, then click Pay. You can pay in smaller amounts over time until the event requirement is complete.",
Name_ChronicleEventPaymentFragment,"Event Payment",
LV.BCEv.DisabledNoDc," <RedHighlight>There is no District Center.</RedHighlight>",
LV.BCEv.DisabledNoSpawnLocation," <RedHighlight>There is no suitable spawn location.</RedHighlight>",
LV.BCEv.UnknownConsequences,"[[C]]<YellowHighlight>Unknown consequences.</YellowHighlight>",
LV.BCEv.GenericOk,"I see",
LV.BCEv.StartBonus,"A new start",
LV.BCEv.StartBonus.Content,"The last bend of the river opens into a quiet stretch of land. The water runs clear, berry bushes cling to the bank, and a stand of young trees waits just beyond the shore.
It is not much yet, but it is enough.
The beavers gather around the camp, tired but hopeful. Before the work begins, the scouts report one small blessing found nearby.",
LV.BCEv.StartBonus.C1,"Gather the berries",
LV.BCEv.StartBonus.C1N,"[[C]]A hidden patch of ripe berries is found nearby. [[+]]+[[good:{S1}:{I1}]]",
LV.BCEv.StartBonus.C2,"Fill the barrels",
LV.BCEv.StartBonus.C2N,"[[C]]Clean water collects in a shallow pool. [[+]]+[[good:{S2}:{I2}]]",
LV.BCEv.StartBonus.C3,"Claim the fallen logs",
