ID,Text,Comment
LV.BDl.PickDecal,"Pick a banner",
LV.BDl.Filter,"Filter",
LV.BDl.Reload,"Reload banners",
LV.BDl.BrowseDir,"Browse directory",
LV.BDl.Position,"Position [{0}, {1}, {2}]",
LV.BDl.Rotation,"Rotation [{0}, {1}, {2}]",
LV.BDl.Scale,"Scale [{0}, {1}]",
LV.BDl.Uniform,"Uniform",
LV.BDl.Color,"Color [{0}, {1}, {2}]",
LV.BDl.FlipX,"Flip X",
LV.BDl.FlipY,"Flip Y",
LV.BDl.Add,"Add banner",
LV.BDl.Change,"Change banner",
LV.BDl.Remove,"Remove banner"
LV.BDl.RemoveConfirm,"Are you sure you want to remove this banner?",
LV.BDl.DecalName,"Banner {0} [{1}]","First placeholder is the index/number, second one is the name"
LV.BDl.PosTemplate,"Position",
LV.BDl.PosCustom,"Select a template",
LV.BDl.PosTop,"Top",
LV.BDl.PosFront,"Front",
LV.BDl.PosRight,"Right",
LV.BDl.PosBack,"Back",
LV.BDl.PosLeft,"Left",
LV.BDl.PosFloor,"Floor",
LV.BDl.KeyBindingCopy,"Building Banners: Copy",
LV.BDl.KeyBindingPaste,"Building Banners: Paste",
LV.BDl.CopyNotf,"Banners copied",
LV.BDl.CopyOneNotf,"This building has multiple banners. Only the first one was copied. To copy a specific banner, use the Copy button in that banner's panel.",
LV.BDl.CopyButton,"Copy",
LV.BDl.PasteButton,"Paste",
LV.BDl.NoDecal,"The building has no banner to copy.",
LV.BDl.BannersDesc,"{0} banners",
LV.MT.BldSet.BuildingDecalComponent,"Building Banners",
Name_BuildingDecalFragment,"Building Banners",
