ID,Text,Comment
LV.CBk.Save0,"Save Bookmark 0",
LV.CBk.Jump0,"Jump to Bookmark 0",
LV.CBk.Save1,"Save Bookmark 1",
LV.CBk.Jump1,"Jump to Bookmark 1",
LV.CBk.Save2,"Save Bookmark 2",
LV.CBk.Jump2,"Jump to Bookmark 2",
LV.CBk.Save3,"Save Bookmark 3",
LV.CBk.Jump3,"Jump to Bookmark 3",
LV.CBk.Save4,"Save Bookmark 4",
LV.CBk.Jump4,"Jump to Bookmark 4",
LV.CBk.Save5,"Save Bookmark 5",
LV.CBk.Jump5,"Jump to Bookmark 5",
LV.CBk.Save6,"Save Bookmark 6",
LV.CBk.Jump6,"Jump to Bookmark 6",
LV.CBk.Save7,"Save Bookmark 7",
LV.CBk.Jump7,"Jump to Bookmark 7",
LV.CBk.Save8,"Save Bookmark 8",
LV.CBk.Jump8,"Jump to Bookmark 8",
LV.CBk.Save9,"Save Bookmark 9",
LV.CBk.Jump9,"Jump to Bookmark 9",
LV.CBk.CameraSaved,"Camera position saved to slot {0}.",
LV.CBk.NoBookmark,"No bookmark set for slot {0}.
Use the Save hotkey to set a bookmark.",
