ID,Text,Comment
LV.DF.BirchDays,"Birch Days",
LV.DF.BirchDaysDesc,"How many days after mature that birch trees will give Daisugi Logs",
LV.DF.BirchLogs,"Birch Logs",
LV.DF.BirchLogsDesc,"How many logs a birch tree will give when harvested for Daisugi Logs",
LV.DF.BirchHarvest,"Birch Harvest Time",
LV.DF.BirchHarvestDesc,"How long (hours) does it take to harvest a birch tree for Daisugi Logs",
LV.DF.BirchPlank,"Birch Produces Planks",
LV.DF.BirchPlankDesc,"If enabled, birch trees will produce planks instead of logs when harvested for Daisugi Logs",
LV.DF.OakDays,"Oak Days",
LV.DF.OakDaysDesc,"How many days after mature that oak trees will give Daisugi Logs",
LV.DF.OakLogs,"Oak Logs",
LV.DF.OakLogsDesc,"How many logs an oak tree will give when harvested for Daisugi Logs",
LV.DF.OakHarvest,"Oak Harvest Time",
LV.DF.OakHarvestDesc,"How long (hours) does it take to harvest an oak tree for Daisugi Logs",
LV.DF.OakPlank,"Oak Produces Planks",
LV.DF.OakPlankDesc,"If enabled, oak trees will produce planks instead of logs when harvested for Daisugi Logs",
LV.DF.ChangeSettingsNote,"You can change the settings manually or use these difficulty templates at any time but you need to reload the save if you are changing it mid-game.",
