ID,Text,Comment
LV.CF.Import,"Import",
LV.CF.Export,"Export",
LV.CF.ClearFaction,"Clear this faction",
LV.CF.ClearFactionDesc,"Build the faction from scratch. Read the mod's description to ensure the game does not crash",
LV.CF.DeselectAll,"Deselect All",
LV.CF.DeselectAllConfirm,"Are you sure you want to deselect all possible items?",
LV.CF.Buildings,"Buildings",
LV.CF.Plants,"Plants",
LV.CF.Goods,"Goods",
LV.CF.Needs,"Needs",
LV.CF.PlanterGroup,"<i>[Planter group: {0}]</i>",
LV.CF.Filter,"Filter:",
LV.CF.ExpandAll,"Expand All",
LV.CF.CollapseAll,"Collapse All",
