ID,Text,Comment
LV.CPl.PlacementSect,"Placement options:",
LV.CPl.RemoveCorner,"Remove corner occupation",
LV.CPl.RemoveCornerDesc,"Allows building structures such as Platforms over plants.",
LV.CPl.RemovePath,"Remove path occupation",
LV.CPl.RemovePathDesc,"Allows building Paths through plants.",
LV.CPl.WithoutGround,"Plant without ground",
LV.CPl.WithoutGroundDesc,"Allows planting directly on roofs and platforms without soil. These plants receive irrigation and contamination from the land below.",
LV.CPl.NoConUp,"> No contamination up (cheater :P)",
LV.CPl.NoConUpDesc,"Prevents land contamination from being brought up. Enables planting trees or crops on platforms even if the land below is unsuitable.",
LV.CPl.GrowthSect,"<b>Growth options:</b> Set below default ×1 to decrease difficulty except for Output Multiplier. Examples:
- Planting Time Multiplier ×0.5: Planting Oak 1 hours → 0.5 hours.
- Growth Rate ×0.5: Potato grows in 5 days → 2.5 days.
- Output Multiplier ×1.5: Carrot yields 3 → 4.
- Harvest Time Multiplier ×0.5: Oak cutting 2 hours → 1 hour.
- Demolishing Time Multiplier ×0.5: demolishing Pine 1.2 hours → 0.6 hours.",
LV.CPl.PlantingTime,"Planting time multiplier",
LV.CPl.PlantingTimeDesc,"Multiplier for time taken to plant.",
LV.CPl.GrowthRate,"Growth rate multiplier",
LV.CPl.GrowthRateDesc,"Multiplier for growth time.",
LV.CPl.OutputMul,"Output multiplier",
LV.CPl.OutputMulDesc,"Multiplier for output (rounded down).",
LV.CPl.HarvestTime,"Harvest time multiplier",
LV.CPl.HarvestTimeDesc,"Multiplier for time taken to harvest/cut down.",
LV.CPl.DemolishTime,"Demolishing time multiplier",
LV.CPl.DemolishTimeDesc,"Multiplier for time taken to demolish.",
LV.CPl.TreeSect,"Tree options: <b>Log providing plants</b> that are planted by Foresters (e.g. Pine, Oak).",
LV.CPl.CropSect,"Crop options: All other plants that are planted by Farmers or Foresters (e.g. Carrot, Blueberry and Dandelion <b>Bushes</b>).",
LV.CPl.ProductSect,"Product options: <b>Products</b> that grow on mature plants (e.g. Pine Resin, Blueberries).",
LV.CPl.AllSect,"For all plants:",
LV.CPl.ReproducibleChanceMultiplier,"Reproducible chance multiplier",
LV.CPl.ReproducibleChanceMultiplierDesc,"Adjusts the chance for trees to reproduce each hour (default: 1–3% depending on type).
Default: ×1. ×0 disables reproduction. Example: ×2 makes a Pine with a base 3% chance reproduce at 6% chance.",
