ID,Text,Comment
LV.Cr.CraneName,"Crane",
LV.Cr.CraneDesc,"A stationary builder. The builder works from inside and reaches surrounding construction sites. It can build, demolish and gather rubble. Can be expanded upwards with more Crane Sections.",
LV.Cr.CraneFlavor,"Apparently the hoomans used a giant bird for this job. Ours doesn't need feeding.",
LV.Cr.CraneSectionName,"Crane Section",
LV.Cr.CraneSectionDesc,"Extends a Crane upward. Placed from a base Crane. Fully refunded when destroyed.",
LV.Cr.CraneSectionFlavor,"For an Iron Teeth invention, it is really uplifting.",
LV.Cr.SelectCrane,"Select Crane",
LV.Cr.Height,"Height: {0}",
LV.Cr.Range,"Range: {0}",
LV.Cr.HeightPending,"Height: {0} / {1}",
LV.Cr.BuildHigher,"Build higher",
LV.Cr.CannotBuildHigher,"Cannot place a Crane Section on top of this Crane.",
LV.Cr.MustPlaceSectionOnCrane,"Must be placed on a Crane.",
LV.Cr.JobPriority,"Priority",
LV.Cr.NoJobs,"No work in range",
LV.Cr.NoMaterials,"No materials needed",
LV.Cr.JobBuild,"Build",
LV.Cr.JobDemolish,"Demolish",
LV.Cr.JobGather,"Gather",
LV.Cr.WorkBonus,"● <YellowHighlight>Work speed bonus:</YellowHighlight> {0:+0%}"
Name_CraneFragment,"Crane",
Name_CraneSectionFragment,"[DO_NOT_COLLAPSE]"
Name_CraneInventoryFragment,"Crane Inventory",
Name_CraneJobQueueFragment,"Crane Jobs",
