ID,Text,Comment
LV.CrH.GroupName,"Crane Heads",
LV.CrH.JibName,"Jib",
LV.CrH.JibDesc,"A Crane Head that extends a Crane's working area from 3×3 to 5×5. Place it on top of a Crane Section.",
LV.CrH.JibFlavor,"Whoever designed this insisted the extra reach was for efficiency. The extra spinning was the real fun.",
LV.CrH.HeadRangeBonus,"● <YellowHighlight>Extra range</YellowHighlight>: {0}"
LV.CrH.MustPlaceHeadOnCraneSection,"Must be placed on a Crane Section."
LV.CrH.TrebuchetName,"Trebuchet",
LV.CrH.TrebuchetDesc,"A Crane Head that launches goods along a curved path. Range equals the number of Crane Sections.",
LV.CrH.TrebuchetFlavor,"Hooman used it to launch 90 kg projectiles over 300 meters.",
LV.CrH.WindmillName,"Cranetop Windmill",
LV.CrH.WindmillDesc,"A Crane Head that turns the Crane into a wind-powered generator. Taller masts produce more HP.",
LV.CrH.WindmillFlavor,"Whoever designed this insisted the extra height was for efficiency. The extra spinning was, once again, the real fun.",
LV.CrH.WindmillHeightBonus,"● <YellowHighlight>Power per section</YellowHighlight>: +{0}%",
LV.CrH.WindmillOutput,"<b>Output: {0} hp</b>
- From Wind: {1} hp x {2}% = {3} hp
- From Height: {4} hp x {5}% = {6} hp",
Name_WindmillFragment,"Cranetop Windmill",
LV.CrH.HeadLabel,"Crane Head: ",
LV.CrH.JobLaunch,"Launch",
LV.CrH.Payload,"Payload",
LV.CrH.Goods,"Goods",
LV.CrH.Amount,"Amount",
LV.CrH.Weight,"Weight: {0} / {1}",
LV.CrH.Cost,"Cost:",
LV.CrH.LaunchCost,"Launch cost",
LV.CrH.NoCost,"None",
LV.CrH.NoPayloadStock,"No payload selected.",
LV.CrH.ChooseTarget,"Choose target",
LV.CrH.ChangeTarget,"Change target ({0}, {1}, {2})",
LV.CrH.LaunchMode,"Launch",
LV.CrH.LaunchNone,"None",
LV.CrH.LaunchOnce,"One time",
LV.CrH.LaunchRepeat,"Repeat",
LV.CrH.Fire,"Fire",
LV.CrH.NextLaunch,"Next launch in {0:0.0} hours",
LV.CrH.AddGood,"Add",
LV.CrH.NoGood,"—",
LV.CrH.PickTarget,"Pick a landing tile for the Trebuchet",
LV.CrH.TrebuchetRange,"Range: {0} tiles",
LV.CrH.TrebuchetNeedPayload,"Add goods to launch.",
LV.CrH.TrebuchetNeedTarget,"Choose a target.",
LV.CrH.TrebuchetOutOfRange,"Target is out of range.",
LV.CrH.TrebuchetTooHigh,"Target is higher than the shot can reach.",
LV.CrH.TrebuchetBadLanding,"Landing must be on an unoccupied ground or solid building's top.",
LV.CrH.TrebuchetSameTile,"Pick a different tile.",
LV.CrH.TrebuchetBlocked,"The path is blocked.",
LV.CrH.TrebuchetOverweight,"Weight is over the limit. The Trebuchet will not launch or accept goods.",
LV.CrH.StatusOverweightShort,"Overweight",
LV.CrH.StatusNeedPayloadShort,"No payload",
LV.CrH.StatusNeedTargetShort,"No target",
LV.CrH.StatusBlockedShort,"Path blocked",
LV.CrH.StatusOutOfRangeShort,"Out of range",
LV.CrH.StatusTooHighShort,"Target too high",
LV.CrH.StatusBadLandingShort,"Invalid landing",
LV.CrH.StatusSameTileShort,"Invalid target",
LV.CrH.PreviewRange,"{0} / {1}",
Name_TrebuchetFragment,"Trebuchet",
Name_TrebuchetInventoryFragment,"Trebuchet Inventory",
