ID,Text,Comment
LV.DTB.OptionsTitle,"Dynamic {0} Options",
LV.DTB.DynamicTails,"Dynamic Tails",
LV.DTB.DynamicBanners,"Dynamic Banners",
LV.DTB.SameForAll,"Same for all Beavers",
LV.DTB.RandomList,"Random tails:",
LV.DTB.Add,"Add",
LV.DTB.Remove,"Remove",
LV.DTB.SelectedBuilding,"Selected entity:",
LV.DTB.Pick,"Pick",
LV.DTB.GoTo,"Go to",
LV.DTB.DisplayIcon,"Displaying Icon:",
LV.DTB.Display.BuildingIcon,"Entity Icon",
LV.DTB.Display.StorageIcon,"Storage Icon",
LV.DTB.Display.RecipeIcon,"Recipe Icon",
LV.DTB.Randomize,"Randomize",
LV.DTB.ColorLabel,"Background color:",
LV.DTB.TextProperty,"Text type:",
LV.DTB.TextProperty.Custom,"Custom text",
LV.DTB.PopulationMode,"Population of:",
LV.DTB.PopulationScope,"Population in:",
LV.DTB.Global,"Global",
LV.DTB.CountBots,"Count Bots",
LV.DTB.CountBeavers,"Count Beavers",
LV.DTB.Change,"Change",
LV.DTB.FontSize,"Font size:",
