ID,Text,Comment
LV.HTX.ColorGroup,"<YellowHighlight>Coloring</YellowHighlight>",
LV.HTX.PositioningGroup,"<YellowHighlight>Positioning</YellowHighlight>",
LV.HTX.Color,"Color:",
LV.HTX.ColorPick,"Pick",
LV.HTX.Transparency,"Transparency:",
LV.HTX.Translation,"Translation: {0}",
LV.HTX.Rotation,"Rotation: {0}",
LV.HTX.RotationPivot,"Pivot: {0}",
LV.HTX.Scale,"Scale: {0}",
LV.HTX.SetManually,"Set manually",
LV.HTX.SetManuallyDesc,"You can put any values here. You are responsible for any consequences.",
LV.HTX.SetForAll,"Set for all",
LV.HTX.RecommendedValues,"Recommended value range: {0} to {1}",
LV.HTX.Reset,"Reset",
LV.HTX.ResetAll,"Reset all",
LV.HTX.ResetAllConfirm,"Are you sure you want to reset all values to their defaults?",
LV.MT.BldSet.HueTurnColorComponent,"Hue & Turn X - Color",
LV.MT.BldSet.HueTurnPositionComponent,"Hue & Turn X - Position",
Name_HueTurnFragment,"Hue & Turn X",
