ID,Text,Comment
LV.MTr.TransformMap,"Transform Map",
LV.MTr.Mode,"Operation",
LV.MTr.ModeResizeXy,"Resize Map Size",
LV.MTr.ModeResizeHeight,"Resize Map Height",
LV.MTr.ModeAddHeight,"Add Bottom Dirt",
LV.MTr.ModeRotate,"Rotate",
LV.MTr.ModeFlip,"Flip",
LV.MTr.SizeX,"Width (X)",
LV.MTr.SizeY,"Breadth (Y)",
LV.MTr.SizeZ,"Terrain Height",
LV.MTr.SizeTotal,"Total Height",
LV.MTr.PivotX,"Pivot X",
LV.MTr.PivotY,"Pivot Y",
LV.MTr.PivotHint,"0, 0 keeps the min corner. Current width and height keep the max corner.",
LV.MTr.Fill,"New cells",
LV.MTr.FillEmpty,"Empty",
LV.MTr.FillCopyEdge,"Copy edge",
LV.MTr.FillMirror,"Mirror",
LV.MTr.AddLayers,"Dirt layers to insert at Z = 0",
LV.MTr.IncreaseTerrainHeight,"Increase terrain height",
LV.MTr.Rotate,"Rotation",
LV.MTr.Rotate90,"90° clockwise",
LV.MTr.Rotate180,"180°",
LV.MTr.Rotate270,"270° clockwise",
LV.MTr.FlipAxis,"Axis",
LV.MTr.FlipX,"Flip X",
LV.MTr.FlipY,"Flip Y",
LV.MTr.FlipBoth,"Flip X and Y",
LV.MTr.Scope,"Target",
LV.MTr.ScopeWhole,"Whole map",
LV.MTr.ScopeArea,"Square area",
LV.MTr.AreaX,"Area X",
LV.MTr.AreaY,"Area Y",
LV.MTr.AreaSize,"Area size",
LV.MTr.AreaExceedsMap,"That square is outside the map. Change X, Y, or Size so the area stays fully on the map.",
LV.MTr.Apply,"Transform",
LV.MTr.SaveWarning,"<RedHighlight>Pause and save first. This writes a new save and this session will likely crash if you keep playing it.</RedHighlight>",
LV.MTr.GameDisclaimer,"<RedHighlight>Beavers and buildings are moved. Some operations besides basic resize may make objects behave strangely and there is no guarantee.</RedHighlight>",
LV.MTr.OfferToLoad,"Transformed map saved. Load it now? Continuing this session will likely crash anyway.",
LV.MTr.InvalidObj,"Some objects would be outside the map. Remove them first, then transform again.",
LV.MTr.SeeInvalidObj,"See invalid object",
LV.MTr.AutoRemove,"Remove them all",
