ID,Text,Comment
LV.MT.ActiveEffects,"Active effects",
LV.MT.ActiveEffect,"• <b>{0}</b>
{1}",
LV.MT.ActiveEffectTime,"{0:0.00}d remaining",
LV.MT.UnknownSettings,"Unknown settings",
LV.MT.UnknownValue,"Unknown value: {0}",
LV.MT.UnknownSettingsDescription,"Unknown settings: {0}",
LV.MT.BldSet.PausableBuilding,"Pausing",
LV.MT.BldSet.TimedComponentActivator,"[DEV] Time Activator",
LV.MT.BldSet.BuilderPrioritizable,"Construction Priority",
LV.MT.BldSet.DecalSupplier,"Decal",
LV.MT.BldSet.FlippableDecal,"Decal Flipping",
LV.MT.BldSet.Demolishable,"Demolishing",
LV.MT.BldSet.UnstableCore,"Unstable Core",
LV.MT.BldSet.UnstableCore.Desc,"Radius: {0}",
LV.MT.BldSet.FarmHouse,"Farming Prioritized",
LV.MT.BldSet.Forester,"Replant dead trees",
LV.MT.BldSet.GatherablePrioritizer,"Gathering Priority",
LV.MT.BldSet.HaulPrioritizable,"Prioritize Hauling",
LV.MT.BldSet.SingleGoodAllower,"Storage good",
LV.MT.BldSet.FixedStockpileInventorySetter,"Reserve inventory",
LV.MT.BldSet.PlantablePrioritizer,"Planting Prioritized",
LV.MT.BldSet.StockpilePriority,"Stockpile Priority",
LV.MT.BldSet.Floodgate,"Floodgate",
LV.MT.BldSet.Floodgate.Desc,"{0}m, Synch: {1}",
LV.MT.BldSet.Sluice,"Sluice",
LV.MT.BldSet.WaterInputCoordinates,"Pump depth limit",
LV.MT.BldSet.WaterMover,"Pump Water Type",
LV.MT.BldSet.WaterSource,"[DEV] Water Source Strength",
LV.MT.BldSet.WaterSource.Desc,"[DEV] Water Source Strength",
LV.MT.BldSet.WaterSourceRegulator,"Badwater seal",
LV.MT.BldSet.Manufactory,"Manufactory Recipe",
LV.MT.BldSet.DistrictDefaultWorkerType,"District Default Worker Type",
LV.MT.BldSet.Workplace,"Workplace Workers",
LV.MT.BldSet.WorkplacePriority,"Worker Priority",
LV.MT.BldSet.WorkplaceWorkerType,"Workplace Worker Type",
Name_EntityEffectDescriberFragment,"Active effects",
