ID,Text,Comment
LV.MTA.Achievements,"Achievements",
LV.MTA.Secret,"<color=#D3D3D3><i>This achievement is a mystery.</i></color>",
LV.MTA.UnlockNotifHeader,"New Achievement unlocked!",
LV.MTA.GroupTitle,"{0} ({1}/{2} unlocked)",
LV.MTA.UnlockedAchTitle,"<i><GreenHighlight>{0} - Unlocked!</GreenHighlight></i>",
LV.MTA.SecretAchTitle,"{0} [SECRET]",
LV.MTA.ShowAchievementDialogHotkey,"Show Achievements Dialog",
LV.MTA.GroupSteam,"Steam",
"LV.MTA.AchName_PLANT_5000_TREES","Beaver-made Forest",
"LV.MTA.AchDesc_PLANT_5000_TREES","Plant 5,000 trees during a single playthrough.",
"LV.MTA.AchName_PLANT_1000_TREES","Beaver-made Thicket",
"LV.MTA.AchDesc_PLANT_1000_TREES","Plant 1,000 trees during a single playthrough.",
"LV.MTA.AchName_PLANT_10000_TREES","Beaver-made Wilderness",
"LV.MTA.AchDesc_PLANT_10000_TREES","Plant 10,000 trees during a single playthrough.",
"LV.MTA.AchName_BORN_BEAVER_AFTER_BEAVER_EXTINCTION","Castor Posthumus",
"LV.MTA.AchDesc_BORN_BEAVER_AFTER_BEAVER_EXTINCTION","As Iron Teeth, have a beaver born after the beaver population drops to 0.",
"LV.MTA.AchName_BUILD_CAMPFIRE","Crackling with Ideas",
"LV.MTA.AchDesc_BUILD_CAMPFIRE","Build a Campfire.",
"LV.MTA.AchName_BUILD_BOT","Created in Beaver’s Image",
"LV.MTA.AchDesc_BUILD_BOT","Build a bot.",
"LV.MTA.AchName_INJURED_JUST_BORN_BEAVER","Desert of the Real",
"LV.MTA.AchDesc_INJURED_JUST_BORN_BEAVER","As Iron Teeth, have a beaver be born from an Advanced Breeding Pod and get injured on the same day.",
"LV.MTA.AchName_WORK_ALL_DAY_FOR_WEEK","Endless Crunch",
"LV.MTA.AchDesc_WORK_ALL_DAY_FOR_WEEK","Have a 24-hour work time for 7 days in a row.",
"LV.MTA.AchName_GENERATE_POWER_WITH_POWER_WHEELS_ONLY","Enough to Power a Car Battery",
"LV.MTA.AchDesc_GENERATE_POWER_WITH_POWER_WHEELS_ONLY","Generate 2,000 hp using only power wheels in a single power network.",
"LV.MTA.AchName_PLUG_ANY_BADWATER_SOURCE","Fixed a Leak",
"LV.MTA.AchDesc_PLUG_ANY_BADWATER_SOURCE","Cover a badwater source on the map using one of the dedicated buildings.",
"LV.MTA.AchName_BUILD_EVERY_STRUCTURE_FOLKTAILS","Folktails Master Builder",
"LV.MTA.AchDesc_BUILD_EVERY_STRUCTURE_FOLKTAILS","Build one of every building and structure available to Folktails.",
"LV.MTA.AchName_BUILD_STACKED_HYDROPONIC_GARDENS","Hanging Gardens",
"LV.MTA.AchDesc_BUILD_STACKED_HYDROPONIC_GARDENS","As Iron Teeth, build 8 Hydroponic Gardens stacked upon each other.",
"LV.MTA.AchName_BUILD_MANY_HEDGES","Hedge Fund",
"LV.MTA.AchDesc_BUILD_MANY_HEDGES","As Folktails, build 200 Hedges on one map.",
"LV.MTA.AchName_EXPLODE_DYNAMITE_IN_SINGLE_DAY","I Am Become Deaf",
"LV.MTA.AchDesc_EXPLODE_DYNAMITE_IN_SINGLE_DAY","Explode 200 dynamite in a single day.",
"LV.MTA.AchName_UNLOCK_IRON_TEETH","Iron Teeth at the Ready",
"LV.MTA.AchDesc_UNLOCK_IRON_TEETH","Unlock the Iron Teeth faction.",
"LV.MTA.AchName_BUILD_EVERY_STRUCTURE_IRONTEETH","Iron Teeth Master Builder",
"LV.MTA.AchDesc_BUILD_EVERY_STRUCTURE_IRONTEETH","Build one of every building and structure available to Iron Teeth.",
"LV.MTA.AchName_DEMOLISH_AND_REBUILD","It Happens.",
"LV.MTA.AchDesc_DEMOLISH_AND_REBUILD","Demolish a building and place an identical one in its place right afterwards.",
"LV.MTA.AchName_BUILD_DAM","It's an Instinct",
"LV.MTA.AchDesc_BUILD_DAM","Build a Dam.",
"LV.MTA.AchName_SURVIVE_50_CYCLES","Legendary Pioneer",
"LV.MTA.AchDesc_SURVIVE_50_CYCLES","Survive 50 cycles on one map.",
"LV.MTA.AchName_GENERATE_POWER_WITH_WATER_WHEELS_ONLY","Mastered the Flow",
"LV.MTA.AchDesc_GENERATE_POWER_WITH_WATER_WHEELS_ONLY","Generate 10,000 hp using only water wheels in a single power network.",
"LV.MTA.AchName_ACTIVATE_WONDER_FOLKTAILS","Ninety-nine Balloons and Counting",
"LV.MTA.AchDesc_ACTIVATE_WONDER_FOLKTAILS","Build and launch the wonder as Folktails.",
"LV.MTA.AchName_PLUG_ALL_BADWATER_SOURCES","No More Leaks",
"LV.MTA.AchDesc_PLUG_ALL_BADWATER_SOURCES","Cap all badwater sources on the map using the dedicated buildings.",
"LV.MTA.AchName_BADTIDE_STREAK","Not Again!",
"LV.MTA.AchDesc_BADTIDE_STREAK","Experience two badtides in a row.",
