ID,Text,Comment
LV.MW.WeatherStart,"{0} started",
LV.MW.WeatherEnd,"{0} ended",
LV.MW.WeatherApproaching,"{0} approaching",
LV.MW.WeatherInProgress,"{0} in progress",
LV.MW.EnableWeather,"Enable",
LV.MW.EnableWeatherDesc,"The weather will be considered to appear",
LV.MW.StartCycle,"Start cycle",
LV.MW.StartCycleDesc,"The minimum cycle that this weather can occur",
LV.MW.Chance,"Chance",
LV.MW.ChanceDesc,"Weighted chance of this weather occurring when rolling for weather",
LV.MW.MinDay,"Minimum day",
LV.MW.MinDayDesc,"The minimum day when this weather occur.",
LV.MW.MaxDay,"Maximum day",
LV.MW.MaxDayDesc,"The maximum day when this weather occur.",
LV.MW.HandicapPerc,"Handicap Percentage",
LV.MW.HandicapPercDesc,"The first time this weather occurs, its duration is multiplied by this percentage.",
LV.MW.HandicapCycles,"Handicap Cycles",
LV.MW.HandicapCyclesDesc,"Number of cycles until the weather reaches full (100%) duration.",
LV.MW.Rain,"Rain",
LV.MW.Monsoon,"Monsoon",
LV.MW.SurprisinglyRefreshing,"Surprisingly Refreshing",
LV.MW.RainEffect,"Enable Rain Effect",
LV.MW.RainEffectDesc,"Enable the rain effect on the map.",
LV.MW.MonsoonMultiplier,"Monsoon maximum multiplier",
LV.MW.MonsoonMultiplierDesc,"The maximum additional multiplier for the monsoon weather at maximum. This value is affected by handicap like Duration.
Default value: 350(%) meaning when no handicap is applied (default cycle 5), all water sources strength is at 350%.",
LV.MW.Profiles,"Profiles",
LV.MW.ProfilesDesc,"Export and import settings for supported Moddable Weathers",
LV.MW.ProfileImport,"Import",
LV.MW.ProfileExport,"Export",
LV.MW.ProfileError,"There was an error: {0}",
LV.MW.SingleWeatherMode,"Single Weather mode",
LV.MW.SWEnable,"Enable Single Weather mode",
LV.MW.SWEnableDesc,"Each cycle may have a chance to only have one kind of weather",
LV.MW.SWStartCycle,"Single Weather start cycle",
LV.MW.SWStartCycleDesc,"The minimum cycle that single weather can occur",
LV.MW.SWChance,"Single Weather chance",
LV.MW.SWChanceDesc,"The chance of single weather occurring",
LV.MW.SWTemperateChance,"Single Weather Temperate chance",
LV.MW.SWTemperateChanceDesc,"The chance of single weather being temperate when single weather occurs",
LV.MW.TemperateDesc,"The game default temperate weather, no effect.",
LV.MW.DroughtDesc,"The game default hazardous drought weather, water sources stop producing water.",
LV.MW.BadtideDesc,"The game default hazardous bad tide weather, all water sources produce badwater.",
LV.MW.RainDesc,"Temperate weather. Effects:
- All tiles are watered and no land contamination occurs.
- Applies Wet Fur when Beavers are not in the buildings.
- 25% shorter than the usual temperate reason (default settings)",
LV.MW.MonsoonDesc,"Hazardous weather. All water sources increase their output, at 350% maximum with handicap applied. Configurable at Monsoon Modifier.",
LV.MW.SurprisinglyRefreshingDesc,"'Hazardous' weather: No bad effect. All water sources produce fresh water. Very short.",
LV.MW.EnableModifier,"Enable {0} Weather Modifier",
LV.MW.EnableModifierDesc,"Enable the {0} weather modifier",
LV.MW.AssociatedWeathers,"Associated Weathers",
LV.MW.AssociatedWeathersDesc,"The weathers that will be affected by this modifier",
LV.MW.EmptyBenignWeather,"No Benign Weather (Internal Use)",
LV.MW.EmptyHazardousWeather,"No Hazardous Weather (Internal Use)",
LV.MW.ModifierWeatherSettings,"Weathers Settings",
LV.MW.ModifierForWeather,"For weather {0}:",
LV.MW.ModifierWeatherEnabled,"Enabled",
LV.MW.ModifierWeatherChance,"Chance",
LV.MW.ModifierStartCycle,"Start Cycle",
LV.MW.ShowSettings,"Edit Weather Settings",
LV.MW.SettingsNote,"Currently, the weather is already decided until cycle {0}. Changing settings here will only affect future cycles. <RedHighlight>You should also make a save before editing.</RedHighlight>",
LV.MW.Filters,"Filters:",
LV.MW.BenignWeather,"Benign Weather",
LV.MW.HazardousWeather,"Hazardous Weather",
LV.MW.Weathers,"Weathers",
LV.MW.WeatherModifiers,"Weather Modifiers",
LV.MW.NoSettings,"This weather has no settings to configure.",
LV.MW.BadtideModifier,"Badtide",
LV.MW.BadtideModifierDesc,"All water sources produce badwater.",
LV.MW.DroughtModifier,"Drought",
LV.MW.DroughtModifierDesc,"All water sources stop producing water.",
LV.MW.RainModifier,"Rain",
LV.MW.RainModifierDesc,"All tiles are watered, no land contamination occurs, and applies Wet Fur when Beavers are not in buildings.",
LV.MW.MonsoonModifier,"Monsoon",
LV.MW.MonsoonModifierDesc,"All water sources increase their output, up to a maximum.",
LV.MW.RefreshingModifier,"Refreshing",
LV.MW.RefreshingModifierDesc,"All water sources produce fresh water.",
LV.MW.AssociatedWeathers,"Associated Weathers:",
