ID,Text,Comment
LV.MA.MoreAchGroup,"More Achievements",
LV.MA.NoAchForCycles.Name,"Terrain Slump",
LV.MA.NoAchForCycles.Desc,"Play {0} cycles without triggering any other achievement.",
LV.MA.NoAchForCycles.Step0,"Show number of cycles without achievements",
LV.MA.NoAchForCycles.Msg0,"Cycles without achievements: {0} / {1}",
LV.MA.HighestWonder.Name,"To the stratosphere!",
LV.MA.HighestWonder.Desc,"Launch the Wonder built as high as it can be by the height limit.",
LV.MA.HighestWonder.Step0,"Show the required height",
LV.MA.HighestWonder.Msg0,"Wonder should be built at height: {0}",
LV.MA.LaunchAllWonders.Name,"Multi-Faction Awareness",
LV.MA.LaunchAllWonders.Desc,"As a faction with multiple Wonders (modded Greedy or Configurable Factions), launch every faction's Wonder within a single cycle.",
LV.MA.LaunchAllWonders.Step0,"Show the Wonders to launch",
LV.MA.LaunchAllWonders.Msg0Launched,"Wonders launched this cycle: {0}.
You need to launch in this cycle: {1}",
LV.MA.FillAllTanksBadwater.Name,"What's wrong with you?",
LV.MA.FillAllTanksBadwater.Desc,"At the end of the day, fill up every tank in the colony with Badwater. There must be at least {0} Badwater in tanks.",
LV.MA.FillAllTanksBadwater.Step0,"Show the first unfulfilled tank",
LV.MA.FillAllTanksBadwater.Msg0IllegalTank,"This tank is not filled up with Badwater",
LV.MA.FillAllTanksBadwater.Msg0NoTank,"No unfulfilled tank found. Keep this up until the end of the day.",
LV.MA.FillAllTanksBadwater.Msg0NotEnough,"No unfulfilled tank found but there is only {0} / {1} Badwater.",
LV.MA.TelescopeAtBottom.Name,"Wonder of terrible planning",
LV.MA.TelescopeAtBottom.Desc,"Build an Observatory at the bottom of the world.",
LV.MA.NameKitSirBeavington3.Name,"Parental abuse",
LV.MA.NameKitSirBeavington3.Desc,"Name a kit '{0}'.",
LV.MA.PrintingPressBots.Name,"Let the slop flow",
LV.MA.PrintingPressBots.Desc,"Have a Printing Press staffed entirely by bots.",
LV.MA.DemolishResources.Name,"Resources to burn",
LV.MA.DemolishResources.Desc,"Demolish {0} resource objects with one action.",
LV.MA.WorksiteFarFromCenter.Name,"Long Haul",
LV.MA.WorksiteFarFromCenter.Desc,"Build a work site at least {0} units from its district center.",
LV.MA.InjuredBeforeProduction.Name,"Dirty Job",
LV.MA.InjuredBeforeProduction.Desc,"Injure a beaver at a newly built workplace before it produces anything.",
LV.MA.ReachPopBeforeCycle.Name,"Fast and Low",
LV.MA.ReachPopBeforeCycle.Desc,"Reach a population of {0} beavers before cycle {1}.",
LV.MA.LaunchWonderMaxWellbeing.Name,"Work hard, work hard",
LV.MA.LaunchWonderMaxWellbeing.Desc,"Build and launch a Wonder while colony wellbeing never exceeds {0}.",
LV.MA.LaunchWonderMaxWellbeing.Step0,"Show the current maximum wellbeing",
LV.MA.LaunchWonderMaxWellbeing.Msg0,"Current maximum wellbeing: {0} / {1} allowed",
LV.MA.LaunchWonderExactWellbeing.Name,"Showing off",
LV.MA.LaunchWonderExactWellbeing.Desc,"Launch a Wonder when the colony average wellbeing is exactly {0}.",
LV.MA.LaunchWonderDistrictsExactWellbeing.Name,"Jackpot!!!",
LV.MA.LaunchWonderDistrictsExactWellbeing.Desc,"Launch a Wonder with exactly {0} average wellbeing in each district. Your colony also must have exactly {1} or {2} districts.",
LV.MA.LaunchWonderDistrictsExactWellbeing.Step0,"Show each district's wellbeing",
LV.MA.LaunchWonderDistrictsExactWellbeing.Msg0,"{0} Districts' wellbeing:
{1}",
LV.MA.OnlyEggplants.Name,"Ultra-Processed",
