ID,Text,Comment
LV.OG.GroupProductions,"Productions",
LV.OG.GroupEssentials,"Essentials",
LV.OG.GroupFarming,"Farming",
LV.OG.GroupKitchen,"Kitchen",
LV.OG.GroupRecreation,"Recreation",
LV.OG.GroupRoofs,"Roofs",
LV.OG.GroupSurfaces,"Surfaces",
LV.OG.GroupPiles,"Piles",
LV.OG.GroupWarehouses,"Warehouses",
LV.OG.GroupTanks,"Tanks",
LV.OG.GroupPlatforms,"Platforms",
LV.OG.GroupBridges,"Suspension Bridges",
LV.OG.GroupOverhangs,"Overhangs",
LV.OG.GroupZiplines,"Ziplines",
LV.OG.GroupTubeways,"Tubeways",
LV.OG.GroupFloodgates,"Floodgates & Sluice",
LV.OG.GroupExplosives,"Explosives",
LV.OG.GroupWaterPumps,"Water Pumps",
LV.OG.GroupBadwaters,"Badwaters",
