ID,Text,Comment
LV.PC.CopyOptions,"<b>Copying options:</b>",
LV.PC.CopyTargets,"<b>Copying targets:</b>",
LV.PC.CopyTargets_All,"Any object",
LV.PC.CopyTargets_SameType,"{0} only",
LV.PC.CopyLocations,"<b>Copying locations:</b>",
LV.PC.CopyLocations_Anywhere,"Anywhere ({0})",
LV.PC.CopyLocations_NoDistrict,"No district",
LV.PC.CopyLocations_District,"In district {1} ({0})",
LV.PC.CopyLocations_Area,"Select an area",
LV.PC.CopyLocations_List,"Select from the list",
LV.PC.CopyConfirm,"Are you sure you want to copy the settings to {0} objects?",
LV.PC.UnknownOption,"Unknown: {0}",
LV.PC.Pausable,"Pause status: {0}",
LV.PC.Unpaused,"Running",
LV.PC.Priority_VeryLow,"Very Low",
LV.PC.Priority_Low,"Low",
LV.PC.Priority_Normal,"Normal",
LV.PC.Priority_High,"High",
LV.PC.Priority_VeryHigh,"Very High",
LV.PC.PowerCopyTitle,"Power Copy",
LV.PC.DistrictTitle,"{0} ({1})",
LV.PC.ShowCopyingComponents,"Show copying components",
LV.PC.ConfirmCopy,"Copy to {0} objects",
LV.PC.Focus,"Focus",
LV.PC.ToggleAll,"De/Select All",
Name_PowerCopyFragment,"Power Copy",
