ID,Text,Comment
LV.PL.Connections,"Connections:",
LV.PL.AddConnection,"Add Connection",
LV.PL.RemoveConnection,"Remove Connection",
LV.PL.PickDestination,"Pick a power line to connect to",
LV.PL.ShowConnections,"Show Power Connections",
LV.PL.LaternDescription,"A power pole that can connect more and longer power lines. Also comes with a free decorative lamp.",
LV.PL.PowerLinesCount,"<YellowHighlight>Power Lines:</YellowHighlight> {0}",
LV.PL.MaxDistance,"<YellowHighlight>Max Power Line Distance:</YellowHighlight> {0}m",
LV.PL.AlwaysShowCables,"Always show Cables",
LV.PL.AlwaysShowCablesDesc,"When enabled, cables will always be visible, even when a building is not selected.",
LV.PL.CableColor,"Cable Color",
LV.PL.CableColorDesc,"The color of the cables.",
LV.PL.DefaultMaxConnectionLength,"Default Max Connection Length",
LV.PL.DefaultMaxConnectionLengthDesc,"Maximum power line distance for regular buildings (meters). Buildings with a longer built-in range keep that longer range. Reload the map after changing.",
LV.PL.DefaultMaxGeneratorConnectionLength,"Default Generator Max Connection Length",
LV.PL.DefaultMaxGeneratorConnectionLengthDesc,"Maximum power line distance for power generators (meters). Generators with a longer built-in range keep that longer range. Reload the map after changing.",
Name_PowerLineFragment,"Power Lines",
