ID,Text,Comment
LV.RT.HotkeyGroup,"Radial Toolbar",
LV.RT.ToggleHotkey,"Toggle Radial Toolbar",
LV.RT.HotkeyUp,"Up",
LV.RT.HotkeyDown,"Down",
LV.RT.HotkeyLeft,"Left",
LV.RT.HotkeyRight,"Right",
LV.RT.HotkeyUpLeft,"Upper Left",
LV.RT.HotkeyUpRight,"Upper Right",
LV.RT.HotkeyDownLeft,"Lower Left",
LV.RT.HotkeyDownRight,"Lower Right",
LV.RT.HotkeyBack,"Back",
LV.RT.HotkeyQuick1,"Quick slot 1",
LV.RT.HotkeyQuick2,"Quick slot 2",
LV.RT.HotkeyQuick3,"Quick slot 3",
LV.RT.HotkeyQuick4,"Quick slot 4",
LV.RT.HotkeyQuick1Pin,"Pin Quick slot 1",
LV.RT.HotkeyQuick2Pin,"Pin Quick slot 2",
LV.RT.HotkeyQuick3Pin,"Pin Quick slot 3",
LV.RT.HotkeyQuick4Pin,"Pin Quick slot 4",
LV.RT.CloseButton,"{0}: Close",
LV.RT.BackButton,"{0}: Back",
LV.RT.Prompt,"{0}: Radial Toolbar",
LV.RT.EightSegment,"8-segment radial menu",
LV.RT.EightSegmentDesc,"Use 8 segments instead of 4.",
LV.RT.FlattenSubmenus,"Flatten submenus",
LV.RT.FlattenSubmenusDesc,"If there is enough space, move submenu items to its parent menu.",
LV.RT.HideBottomBar,"Hide bottom bar",
LV.RT.HideBottomBarDesc,"Hide the game's default bottom bar.",
