ID,Text,Comment
LV.RL.Title,"Real Lights",
LV.RL.ForceNightLight,"Force Night light on",
LV.RL.LightConfig,"Light {0}:","In case there are more than 1 light, it will show up as Light 1, Light 2 etc"
LV.RL.Intensity,"Intensity",
LV.RL.Color,"Color",
LV.RL.Range,"Range",
LV.RL.Reset,"Reset",
LV.RL.Shadow,"Shadow",
LV.RL.ShadowDesc,"Choose shadow quality:
- None: No shadow, fastest
- Hard: Sharp edge, less realistic, faster
- Soft: Soft edge, more realistic, slower",
LV.RL.ShadowNone,"None",
LV.RL.ShadowHard,"Hard",
LV.RL.ShadowSoft,"Soft",
