ID,Text,Comment
LV.SC.Nothing,"No beaver land",
LV.SC.Stockpile,"Stockpile",
LV.SC.Coord,"Height: {0} - (X, Y): ({1}, {2})",
LV.SC.Water,"Water",
LV.SC.WaterDepth,"  Depth: {0}cm",
LV.SC.WaterDepthFrom,"  Depth: {0}m ({1}m from here)",
LV.SC.WaterCurrent,"  Current: {0}m³/s",
LV.SC.WaterContamination,"  Contamination: {0}%",
LV.SC.Dwellers,"Adult: {0}, Children: {1}",
LV.SC.WaterSpecifiedStrength,"  Strength: {0} (usually {1})",
LV.SC.WaterStrength,"  Strength: {0}",
LV.SC.BeaverChildGrow,"Growing: {0}/{1} ({2}%)",
LV.SC.BlockStat,"Moisture: {0} blocks, Contamination: {1}%",
LV.SC.KeyBinding,"Super Cursor",
LV.SC.BeaverWaterConsumption," Water: {0:F1}/day",
LV.SC.BeaverFoodConsumption," Food: {0:F1}/day",
