ID,Text,Comment
"LV.SC.Nothing,""Ничего"","
"LV.SC.Stockpile,""Склад"","
"LV.SC.Coord,""Высота: {0} — (X, Y): ({1}, {2})"","
"LV.SC.Water,""Вода"","
"LV.SC.WaterDepth,"" Глубина: {0} см"","
"LV.SC.WaterDepthFrom,"" Глубина: {0} см ({1} см отсюда)"","
"LV.SC.WaterCurrent,"" Течение: {0} см³/с"","
"LV.SC.WaterContamination,"" Загрязнение: {0}%"","
"LV.SC.Dwellers,""Взрослые: {0}, Дети: {1}"","
"LV.SC.WaterSpecifiedStrength,"" Сила: {0} (обычно {1})"","
"LV.SC.WaterStrength,"" Сила: {0}"","
"LV.SC.BeaverChildGrow,""Растёт: {0}/{1} ({2}%)"","
"LV.SC.BlockStat,""Влажность: {0} блоков, Загрязнение: {1}%"","
"LV.SC.KeyBinding,""Супер курсор"","
"LV.SC.BeaverWaterConsumption,"" Вода: {0:F1} л/день"","
"LV.SC.BeaverFoodConsumption,"" Еда: {0:F1} ед/день"","
