ID,Text,Comment
LV.T4A.AchievementsHelper,"Achivements Helper",
LV.T4A.Unavailable,"<RedHighlight>This achievement is unavailable during this game.</RedHighlight>",
LV.T4A.HintStep,"Hint {0}: {1}",
LV.T4A.HintAction,"Show Hint {0}",
LV.T4A.ShowSecret,"Show secret achievement info",
LV.T4A.ShowSecretConfirm,"Are you sure you want to reveal the secret achievement information?",
LV.T4A.PlantTree.Step0,"Show planted tree count",
LV.T4A.PlantTree.Msg0,"Trees planted: {0}/{1}",
LV.T4A.BuildAll.Step0,"Show remaining count of building types to build",
LV.T4A.BuildAll.Msg0,"Remaining building types to build: {0}",
LV.T4A.BuildAll.Step1,"List missing building types",
LV.T4A.BuildAll.Msg1,"{0} buildings you need to build:
{1}",
LV.T4A.WorkAllDay.Step0,"Show current 24h work day streak",
LV.T4A.WorkAllDay.Msg0,"Current 24h work day streak: {0:0.0}/{1}d",
LV.T4A.GeneratePower.Step0,"Show current power generated with only specified source",
LV.T4A.GeneratePower.Msg0,"Current power generated with only {0}: {1}/{2}",
LV.T4A.BuildManyHedges.Step0,"Show current built hedges count",
LV.T4A.BuildManyHedges.Msg0,"Hedges built: {0}/{1}",
LV.T4A.ExplodeDynamiteInSingleDay.Step0,"Show current exploded dynamite count today",
LV.T4A.ExplodeDynamiteInSingleDay.Msg0,"Dynamite exploded today: {0}/{1}",
LV.T4A.PlugBadwaterSource.Step0,"Show plugged badwater sources count and total",
LV.T4A.PlugBadwaterSource.Msg0,"Badwater sources plugged: {0}/{1}",
LV.T4A.ProducePlanksInDay.Step0,"Show current produced planks count today",
LV.T4A.ProducePlanksInDay.Msg0,"Planks produced today: {0}/{1}",
LV.T4A.BatteryChargeStorage.Step0,"Show current battery charge stored",
LV.T4A.BatteryChargeStorage.Msg0,"Battery charge stored: {0}/{1} HP",
LV.T4A.ZiplineNetworkLength.Step0,"Show current longest zipline network length",
LV.T4A.ZiplineNetworkLength.Msg0,"Longest zipline network length: {0:0.0}/{1:0} m",
LV.T4A.LargeTubewayNetwork.Step0,"Show current built Station and Tubeway segments count",
LV.T4A.LargeTubewayNetwork.Msg0,"- Station built: {0}/{1}
- Tubeway segments built: {2}/{3}",
