ID,Text,Comment
LV.TIMod.SwapBuildFinishedModifier,"Swap Build Finished Modifier",
LV.TIMod.SwapBuildFinishedModifierDesc,"When Dev Mode is enabled, auto finish building when placing a building while holding Ctrl would place the building normally for construction",
LV.TIMod.NoClearDevFilter,"Do not clear Dev Mode filter",
LV.TIMod.NoClearDevFilterDesc,"Do not clear Dev Mode filter when invoking one or adding/removing them from favourites",
Modding.ThumbnailInfo,"Click Refresh to pick a mod thumbnail if 'Pick upload thumbnail' option is checked",
LV.TIMod.PickThumbnail,"Pick upload thumbnail",
LV.TIMod.PickThumbnailDesc,"Pick a thumbnail for your upload instead of using thumbnail.png.",
LV.TIMod.OpenExternalBrowser,"Always open external browser",
LV.TIMod.OpenExternalBrowserDesc,"Always open with external browser instead of Steam overlay browser.",
LV.TIMod.DevModeOnDefault,"Enable DevMode on load",
LV.TIMod.DevModeOnDefaultDesc,"Enable DevMode by default when loading the game.",
LV.TIMod.BetterResetLoadOrder,"Better Mod Organizing",
LV.TIMod.BetterResetLoadOrderDesc,"Move to top move the mod to top but below their dependencies. Reset Load Order sorts mod by Enabling, Name then bring their dependencies right on top. Enabled mods showed first when uploading.",
LV.TIMod.NoExitSave,"No Exit Save",
LV.TIMod.NoExitSaveDesc,"Do not save the game when exiting.",
LV.TIMod.QuickQuit,"Enable Quick/Force Quit [Ctrl Shift Q][!]",
LV.TIMod.QuickQuitDesc,"Enable quick quit when pressing [Ctrl Shift Q]. This option use Process.Kill() so no save will be made.",
LV.TIMod.QuickRestart,"Enable Quick Restart [Ctrl Shift R][!]",
LV.TIMod.QuickRestartDesc,"Enable quick restart when pressing [Ctrl Shift R]. This option use Process.Kill() so no save will be made.",
