ID,Text,Comment
LV.TBMM.OpenDialog,"Tails & Banners Mod Maker",
LV.TBMM.ModInfo,"Mod manifest",
LV.TBMM.ModId,"Mod ID: Unique ID for your mod. Typically AuthorName.ModName with no space",
LV.TBMM.ModName,"Mod Name: The name of your mod that will be displayed in the game",
LV.TBMM.ModVersion,"Mod Version: The version of your mod (e.g., 1.0.0)",
LV.TBMM.GroupInfoHeader,"About Groups",
LV.TBMM.GroupInfo,"You can organize your tails and banners into groups. The feature is <b>optional</b> and is provided by the 'Moddable Decal Groups' mod.
Your mod will work without that optional mod, users without 'Moddable Decal Groups' will just see all your tails and banners in the same list.
The 'Default' group is always available, it is the group that tails and banners will be in if you don't specify a group for them.
You can add the same tail or banner to multiple groups.",
LV.TBMM.DefaultGroupName,"Default Group",
LV.TBMM.DecalType.Tails,"Tails",
LV.TBMM.DecalType.Banners,"Banners",
LV.TBMM.AddGroup,"Add Group",
LV.TBMM.BuildMod,"Build Mod",
LV.TBMM.BuildDone,"Mod built successfully! Please restart the game to check your mod out. You can upload your mod to Steam Workshop from the Mods dialog",
LV.TBMM.ShowFolder,"Show Mod Folder",
LV.TBMM.DeleteGroup,"Delete Group",
LV.TBMM.DeleteGroupConfirm,"Are you sure you want to delete this group?",
LV.TBMM.AddDecals,"Add {0}",
LV.TBMM.OpenFolder,"Open {0} Folder",
LV.TBMM.OpenFolderNote,"After changing the decals, please <b>restart</b> the game to take effect.",
LV.TBMM.Filter,"Filter",
LV.TBMM.AddButton,"Add selected {0}",
LV.TBMM.DeleteDecals,"Delete {0} {1}",
LV.TBMM.DeleteDecalsConfirm,"Are you sure you want to delete these {0} {1} from group {2}?",
LV.TBMM.GroupId,"Group ID: Unique ID for this group. Typically AuthorName.GroupName with no space",
LV.TBMM.GroupName,"Group Name: The name of this group that will be displayed in the game",
LV.TBMM.GroupOrder,"Group Order: The order of this group in the list. Leave at 0 if you don't care.",
LV.TBMM.ErrModManifest,"Mod manifest is not valid. Make sure all values are filled",
LV.TBMM.ErrFileName,"{0} (current value: {1}) must not contain these characters: {2}",
LV.TBMM.ErrModId,"Mod ID",
LV.TBMM.ErrGroupId,"Group ID",
LV.TBMM.ErrNoDecalsMod,"There is no tails or banners added. Please add at least one tail or banner.",
LV.TBMM.ErrNoDecalsGroup,"There is no tails or banners in group {0} ({1} in {2}). Please add at least one tail or banner to this group or delete the group.",
LV.TBMM.WarningPrompt,"{0}

Do you want to proceed anyway?",
LV.TBMM.WarnFolderExists,"The building folder already exists. <b>No files will be overwritten</b>, but you might want to delete or move the existing folder if you want to clean up old files.
Folder: {0}",
LV.TBMM.ErrGroupInfo,"A group in {0} has invalid information. Make sure all values are filled and valid.",
LV.TBMM.ErrDuplicateId,"Two or more groups in {0} have the same ID: {1}",
LV.TBMM.WarnGroupNameDup,"- Two or more groups in {0} have the same name: {1}. This is not an error, but it might be confusing for users.",
LV.TBMM.Faction,"Faction:",
LV.TBMM.FactionAny,"Any",
