ID,Text,Comment
LV.TPi.GroupName,"Pipes",
LV.TPi.HorizontalPipeName,"Straight",
LV.TPi.HorizontalPipeDesc,"Carries fluid in a straight line.",
LV.TPi.HorizontalPipeFlavor,"Beavers argued for days about whether water prefers to travel in straight lines. The pipe settled it.",
LV.TPi.ElbowPipeName,"Elbow",
LV.TPi.ElbowPipeDesc,"Turns a pipe run 90°. Flip for the other way.",
LV.TPi.ElbowPipeFlavor,"One elbow, two opinions.",
LV.TPi.FourWayPipeName,"Cross",
LV.TPi.FourWayPipeDesc,"Joins four horizontal pipes.",
LV.TPi.FourWayPipeFlavor,"Four opinions, one puddle.",
LV.TPi.SixWayPipeName,"Six-Way",
LV.TPi.SixWayPipeDesc,"The only junction that connects horizontal pipes to vertical risers. You can stack a Riser on it.",
LV.TPi.SixWayPipeFlavor,"It goes every way at once. The water does not mind.",
LV.TPi.VerticalPipeName,"Riser",
LV.TPi.VerticalPipeDesc,"A stackable riser.",
LV.TPi.VerticalPipeFlavor,"Gravity included. Headlift costs extra.",
LV.TPi.PipeFill,"{0:0.00} / {1:0.00} m³",
LV.TPi.Headlift,"Headlift: {0:0.00}m",
LV.TPi.Contaminated,"Contaminated",
LV.TPi.Flush,"Flush",
LV.TPi.FlushConfirm,"This empties every pipe in this network and clears contamination. Continue?",
Name_TransportPipeFragment,"Pipe",
